"category_path","category_name","category_full_image","category_publish","category_list_order"
,"Revista g+c",,"Y",1
,"Libros de la OEI",,"Y",2
,"Publicaciones periódicas",,"Y",3
,"ACTAS",,"Y",4
,"Artes escénicas",,"Y",5
,"Artes plásticas",,"Y",6
,"Patrimonio",,"Y",7
,"Arquitectura",,"Y",8
,"Cine y audiovisuales",,"Y",9
,"Bibliotecas y archivos",,"Y",10
,"Moda y diseño",,"Y",11
,"Videojuegos",,"Y",12
,"Editorial",,"Y",13
,"Cooperación y desarrollo",,"Y",14
,"Genérico",,"Y",15
,"Otros",,"Y",16
